Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
9.659865600000003e-06,-11.547530822880113,0.0007698401941818052,-7.1693276046795855,H2:PP-SinRelacion,-11.5475,-7.16275
0.0038234696371200003,-5.566596986633534,0.0036692469292842586,-5.607768834351627,H1:PP-PadreVerdadero,-5.5666,-5.60639
0.0076603682534400015,-4.871695221523577,0.0073449309163692925,-4.913744874932279,H2:PP-SinRelacion,-4.8717,-4.91237
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H1:PP-PadreVerdadero,-2.9499299999999997,-3.6819900000000003
0.00018449399808,-8.597893625744534,0.012547850639108056,-4.378205891887758,H2:PP-SinRelacion,-8.59789,-4.36797
0.00764693927424,-4.873449806073588,0.0036464975281771373,-5.613988153401964,H1:PP-PadreVerdadero,-4.87345,-5.60375
3.2030208000000006e-06,-12.65141619344638,0.0009125663639080319,-6.999249747581703,H2:PP-SinRelacion,-12.6514,-7.04236
0.02626411972608,-3.6395515402309453,0.01881191406575352,-3.9732648829645467,H1:PP-PadreVerdadero,-3.63955,-3.9666900000000003
0.007687321044480002,-4.868182924887284,0.0036925063886319954,-5.60144981339585,H2:PP-SinRelacion,-4.868180000000001,-5.594869999999999
0.003203050435200001,-5.743651662241184,0.003980675640688787,-5.526303715126182,H1:PP-PadreVerdadero,-5.74365,-5.5299
0.02621791494144,-3.6413123254928106,0.025007878521092087,-3.6885643629166984,H2:PP-SinRelacion,-3.64131,-3.6819900000000003
0.0044528533459200015,-5.414210186955391,0.0021207380580061646,-6.155991110316137,H1:PP-PadreVerdadero,-5.41421,-6.14576
0.026264119726079997,-3.6395515402309453,0.01874322879637095,-3.9769227226493857,H2:PP-SinRelacion,-3.63955,-3.9666900000000003
0.01532073650688,-4.178548040963632,0.009422412154701017,-4.664664155795493,H1:PP-PadreVerdadero,-4.17855,-4.6544300000000005
0.0012767280422400005,-6.663454690751632,0.001224155152728215,-6.705504344160334,H2:PP-SinRelacion,-6.66345,-6.70413
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H1:PP-PadreVerdadero,-4.33622,-5.0674
0.0022343017334400007,-6.103826523247777,0.0021460540891931417,-6.144124430434626,H2:PP-SinRelacion,-6.10383,-6.14275
0.0054909436032,-5.204655161508498,0.0026375045633085683,-5.937922050017063,H1:PP-PadreVerdadero,-5.20466,-5.93135
1.1230329600000002e-05,-11.396892439689147,0.0018602155199135394,-6.287062927048286,H2:PP-SinRelacion,-11.3969,-6.28935
0.0038234696371200003,-5.566596986633534,0.0010820094832161848,-6.828935334071131,H1:PP-PadreVerdadero,-5.5666,-6.827560000000001
0.010943383219200003,-4.515020277584845,0.002242105101724284,-6.100340076874161,H2:PP-SinRelacion,-4.51502,-6.10393
0.003186224697600001,-5.7489185434274885,0.0009169500636352986,-6.994457543422557,H1:PP-PadreVerdadero,-5.74892,-7.00691
4.636735488e-05,-9.978914904966269,0.003694501604917733,-5.6009096173283766,H2:PP-SinRelacion,-9.97891,-5.59068
0.0006637968120000004,-7.317534461341333,0.00018752291805977306,-8.581609490371122,H1:PP-PadreVerdadero,-7.3175300000000005,-8.58024
0.0031918201056000007,-5.747163958877477,0.003060387881820539,-5.789213612286179,H2:PP-SinRelacion,-5.74716,-5.78784
0.00218483979264,-6.126212774568956,0.0010418564366220387,-6.866751121897332,H1:PP-PadreVerdadero,-6.1262099999999995,-6.85652
0.0022343017334400007,-6.103826523247777,0.0021460540891931417,-6.144124430434626,H2:PP-SinRelacion,-6.10383,-6.14275
